"Time","power 3devo-recycling-station","power olsk-large-laser-1","power prusa-mini-1","power prusa-mini-2","power prusa-mk4-1","power prusa-mk4-2","power prusa-mk4-3","power prusa-xl-1"
2024-11-02 00:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 00:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-02 09:16:00,0 W,0 W,25 mW,50 mW,0 W,0 W,12.9 W,0 W
2024-11-02 09:21:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 09:26:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 09:31:00,0 W,0 W,0 W,16.7 mW,0 W,0 W,13 W,0 W
2024-11-02 09:36:00,0 W,0 W,0 W,40 mW,0 W,0 W,13.0 W,0 W
2024-11-02 09:41:00,0 W,0 W,0 W,16.7 mW,0 W,0 W,13.0 W,0 W
2024-11-02 09:46:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 09:51:00,0 W,0 W,0 W,0 W,0 W,0 W,13.1 W,0 W
2024-11-02 09:56:00,0 W,0 W,20 mW,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 10:01:00,0 W,0 W,33.3 mW,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 10:06:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.1 W,0 W
2024-11-02 10:11:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 10:16:00,0 W,0 W,20 mW,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 10:21:00,0 W,0 W,28.6 mW,0 W,0 W,0 W,13 W,0 W
2024-11-02 10:26:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 10:31:00,0 W,0 W,20 mW,0 W,0 W,0 W,13 W,0 W
2024-11-02 10:36:00,0 W,0 W,0 W,20 mW,0 W,0 W,13 W,0 W
2024-11-02 10:41:00,0 W,0 W,0 W,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 10:46:00,0 W,0 W,0 W,0 W,0 W,0 W,13 W,0 W
2024-11-02 10:51:00,0 W,0 W,20 mW,0 W,0 W,0 W,13 W,0 W
2024-11-02 10:56:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 11:01:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 11:06:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 11:11:00,0 W,0 W,37.5 mW,20 mW,0 W,0 W,13 W,0 W
2024-11-02 11:16:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 11:21:00,0 W,0 W,0 W,16.7 mW,0 W,0 W,13.0 W,0 W
2024-11-02 11:26:00,0 W,0 W,0 W,0 W,0 W,0 W,13 W,0 W
2024-11-02 11:31:00,0 W,0 W,0 W,0 W,0 W,0 W,13 W,0 W
2024-11-02 11:36:00,0 W,0 W,0 W,40 mW,0 W,0 W,13.0 W,0 W
2024-11-02 11:41:00,0 W,0 W,40 mW,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 11:46:00,0 W,0 W,20 mW,14.3 mW,0 W,0 W,13.0 W,0 W
2024-11-02 11:51:00,0 W,0 W,0 W,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 11:56:00,0 W,0 W,20 mW,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 12:01:00,0 W,0 W,0 W,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 12:06:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 12:11:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 12:16:00,0 W,0 W,0 W,20 mW,0 W,0 W,13.0 W,0 W
2024-11-02 12:21:00,0 W,0 W,0 W,20 mW,0 W,0 W,13 W,0 W
2024-11-02 12:26:00,0 W,0 W,20 mW,0 W,0 W,0 W,13.0 W,0 W
2024-11-02 12:31:00,0 W,0 W,0 W,0 W,0 W,0 W,13 W,0 W
2024-11-02 12:36:00,0 W,0 W,0 W,0 W,0 W,0 W,4.33 W,0 W
2024-11-02 12:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
